epoch,step,train/loss,val/error_T,val/loss,val/loss_best
0,0,0.0,,,
1,1,9852.666015625,,,
2,2,9818.2412109375,,,
3,3,9784.0400390625,,,
4,4,9750.078125,,,
5,5,9716.3740234375,,,
6,6,9682.9541015625,,,
7,7,9649.845703125,,,
8,8,9617.072265625,,,
9,9,9584.65625,,,
10,10,9552.62109375,,,
11,11,9520.9921875,,,
12,12,9489.7919921875,,,
13,13,9459.05078125,,,
14,14,9428.7958984375,,,
15,15,9399.0556640625,,,
16,16,9369.8583984375,,,
17,17,9341.2333984375,,,
18,18,9313.208984375,,,
19,19,9285.80859375,,,
20,20,9259.052734375,,,
21,21,9232.9658203125,,,
22,22,9207.5595703125,,,
23,23,9182.8447265625,,,
24,24,9158.8291015625,,,
25,25,9135.51171875,,,
26,26,9112.8876953125,,,
27,27,9090.9501953125,,,
28,28,9069.681640625,,,
29,29,9049.0673828125,,,
30,30,9029.083984375,,,
31,31,9009.7099609375,,,
32,32,8990.919921875,,,
33,33,8972.68359375,,,
34,34,8954.9765625,,,
35,35,8937.76953125,,,
36,36,8921.0400390625,,,
37,37,8904.755859375,,,
38,38,8888.8984375,,,
39,39,8873.4443359375,,,
40,40,8858.3681640625,,,
41,41,8843.6533203125,,,
42,42,8829.2783203125,,,
43,43,8815.2265625,,,
44,44,8801.4814453125,,,
45,45,8788.025390625,,,
46,46,8774.8466796875,,,
47,47,8761.9296875,,,
48,48,8749.2607421875,,,
49,49,8736.828125,,,
50,50,8724.6201171875,,,
51,51,8712.6259765625,,,
52,52,8700.8330078125,,,
53,53,8689.232421875,,,
54,54,8677.81640625,,,
55,55,8666.5732421875,,,
56,56,8655.4951171875,,,
57,57,8644.57421875,,,
58,58,8633.8037109375,,,
59,59,8623.1767578125,,,
60,60,8612.68359375,,,
61,61,8602.3232421875,,,
62,62,8592.0849609375,,,
63,63,8581.962890625,,,
64,64,8571.9541015625,,,
65,65,8562.052734375,,,
66,66,8552.2568359375,,,
67,67,8542.5546875,,,
68,68,8532.94921875,,,
69,69,8523.4345703125,,,
70,70,8514.00390625,,,
71,71,8504.658203125,,,
72,72,8495.390625,,,
73,73,8486.2001953125,,,
74,74,8477.08203125,,,
75,75,8468.03515625,,,
76,76,8459.056640625,,,
77,77,8450.1435546875,,,
78,78,8441.2919921875,,,
79,79,8432.5009765625,,,
80,80,8423.771484375,,,
81,81,8415.095703125,,,
82,82,8406.4755859375,,,
83,83,8397.9091796875,,,
84,84,8389.39453125,,,
85,85,8380.9267578125,,,
86,86,8372.5087890625,,,
87,87,8364.134765625,,,
88,88,8355.8095703125,,,
89,89,8347.52734375,,,
90,90,8339.28515625,,,
91,91,8331.0849609375,,,
92,92,8322.9267578125,,,
93,93,8314.8056640625,,,
94,94,8306.72265625,,,
95,95,8298.67578125,,,
96,96,8290.666015625,,,
97,97,8282.6904296875,,,
98,98,8274.7490234375,,,
99,99,8266.841796875,,,
100,100,8258.966796875,,,
101,101,8251.1220703125,,,
102,102,8243.30859375,,,
103,103,8235.5263671875,,,
104,104,8227.7734375,,,
105,105,8220.048828125,,,
106,106,8212.3525390625,,,
107,107,8204.6845703125,,,
108,108,8197.0419921875,,,
109,109,8189.42724609375,,,
110,110,8181.8388671875,,,
111,111,8174.275390625,,,
112,112,8166.7353515625,,,
113,113,8159.22119140625,,,
114,114,8151.7314453125,,,
115,115,8144.2646484375,,,
116,116,8136.8212890625,,,
117,117,8129.400390625,,,
118,118,8122.001953125,,,
119,119,8114.62548828125,,,
120,120,8107.27001953125,,,
121,121,8099.9365234375,,,
122,122,8092.62353515625,,,
123,123,8085.33154296875,,,
124,124,8078.05908203125,,,
125,125,8070.806640625,,,
126,126,8063.57470703125,,,
127,127,8056.361328125,,,
128,128,8049.1669921875,,,
129,129,8041.99169921875,,,
130,130,8034.83447265625,,,
131,131,8027.69580078125,,,
132,132,8020.57568359375,,,
133,133,8013.47216796875,,,
134,134,8006.38623046875,,,
135,135,7999.31787109375,,,
136,136,7992.267578125,,,
137,137,7985.2314453125,,,
138,138,7978.21484375,,,
139,139,7971.212890625,,,
140,140,7964.22802734375,,,
141,141,7957.25830078125,,,
142,142,7950.3056640625,,,
143,143,7943.3681640625,,,
144,144,7936.44580078125,,,
145,145,7929.5390625,,,
146,146,7922.64794921875,,,
147,147,7915.77099609375,,,
148,148,7908.9091796875,,,
149,149,7902.060546875,,,
150,150,7895.228515625,,,
151,151,7888.41064453125,,,
152,152,7881.60595703125,,,
153,153,7874.81591796875,,,
154,154,7868.0400390625,,,
155,155,7861.27734375,,,
156,156,7854.52880859375,,,
157,157,7847.7939453125,,,
158,158,7841.07275390625,,,
159,159,7834.3642578125,,,
160,160,7827.66845703125,,,
161,161,7820.98583984375,,,
162,162,7814.31689453125,,,
163,163,7807.66064453125,,,
164,164,7801.01708984375,,,
165,165,7794.3857421875,,,
166,166,7787.76708984375,,,
167,167,7781.1611328125,,,
168,168,7774.56689453125,,,
169,169,7767.9853515625,,,
170,170,7761.41552734375,,,
171,171,7754.8583984375,,,
172,172,7748.31298828125,,,
173,173,7741.779296875,,,
174,174,7735.25732421875,,,
175,175,7728.74609375,,,
176,176,7722.24755859375,,,
177,177,7715.76025390625,,,
178,178,7709.28515625,,,
179,179,7702.81982421875,,,
180,180,7696.3671875,,,
181,181,7689.92431640625,,,
182,182,7683.494140625,,,
183,183,7677.07373046875,,,
184,184,7670.6650390625,,,
185,185,7664.267578125,,,
186,186,7657.8798828125,,,
187,187,7651.50341796875,,,
188,188,7645.1376953125,,,
189,189,7638.7822265625,,,
190,190,7632.4375,,,
191,191,7626.1025390625,,,
192,192,7619.77978515625,,,
193,193,7613.46630859375,,,
194,194,7607.16357421875,,,
195,195,7600.8701171875,,,
196,196,7594.587890625,,,
197,197,7588.3154296875,,,
198,198,7582.052734375,,,
199,199,7575.7998046875,,,
200,200,7569.5576171875,,,
201,201,7563.32568359375,,,
202,202,7557.10302734375,,,
203,203,7550.8896484375,,,
204,204,7544.6875,,,
205,205,7538.4931640625,,,
206,206,7532.30908203125,,,
207,207,7526.13525390625,,,
208,208,7519.97021484375,,,
209,209,7513.81494140625,,,
210,210,7507.669921875,,,
211,211,7501.53369140625,,,
212,212,7495.4072265625,,,
213,213,7489.2890625,,,
214,214,7483.18115234375,,,
215,215,7477.08154296875,,,
216,216,7470.9921875,,,
217,217,7464.9111328125,,,
218,218,7458.84033203125,,,
219,219,7452.77685546875,,,
220,220,7446.7236328125,,,
221,221,7440.6796875,,,
222,222,7434.6435546875,,,
223,223,7428.6171875,,,
224,224,7422.60009765625,,,
225,225,7416.5908203125,,,
226,226,7410.59033203125,,,
227,227,7404.599609375,,,
228,228,7398.6171875,,,
229,229,7392.6435546875,,,
230,230,7386.67822265625,,,
231,231,7380.72216796875,,,
232,232,7374.7744140625,,,
233,233,7368.83447265625,,,
234,234,7362.9033203125,,,
235,235,7356.98193359375,,,
236,236,7351.06787109375,,,
237,237,7345.16259765625,,,
238,238,7339.265625,,,
239,239,7333.37744140625,,,
240,240,7327.49658203125,,,
241,241,7321.625,,,
242,242,7315.76123046875,,,
243,243,7309.9052734375,,,
244,244,7304.05810546875,,,
245,245,7298.2197265625,,,
246,246,7292.38916015625,,,
247,247,7286.56640625,,,
248,248,7280.75146484375,,,
249,249,7274.94580078125,,,
250,250,7269.1474609375,,,
251,251,7263.3564453125,,,
252,252,7257.57421875,,,
253,253,7251.80029296875,,,
254,254,7246.03369140625,,,
255,255,7240.27490234375,,,
256,256,7234.5244140625,,,
257,257,7228.78173828125,,,
258,258,7223.04736328125,,,
259,259,7217.3203125,,,
260,260,7211.6005859375,,,
261,261,7205.8896484375,,,
262,262,7200.185546875,,,
263,263,7194.48974609375,,,
264,264,7188.8017578125,,,
265,265,7183.12158203125,,,
266,266,7177.44921875,,,
267,267,7171.78369140625,,,
268,268,7166.12646484375,,,
269,269,7160.47705078125,,,
270,270,7154.833984375,,,
271,271,7149.19970703125,,,
272,272,7143.572265625,,,
273,273,7137.95263671875,,,
274,274,7132.34033203125,,,
275,275,7126.73583984375,,,
276,276,7121.138671875,,,
277,277,7115.548828125,,,
278,278,7109.9658203125,,,
279,279,7104.3916015625,,,
280,280,7098.82421875,,,
281,281,7093.263671875,,,
282,282,7087.7109375,,,
283,283,7082.16552734375,,,
284,284,7076.62646484375,,,
285,285,7071.095703125,,,
286,286,7065.572265625,,,
287,287,7060.05615234375,,,
288,288,7054.54736328125,,,
289,289,7049.04541015625,,,
290,290,7043.55029296875,,,
291,291,7038.0625,,,
292,292,7032.58203125,,,
293,293,7027.10888671875,,,
294,294,7021.64306640625,,,
295,295,7016.18359375,,,
296,296,7010.732421875,,,
297,297,7005.287109375,,,
298,298,6999.849609375,,,
299,299,6994.41845703125,,,
300,300,6988.9951171875,,,
301,301,6983.57861328125,,,
302,302,6978.1689453125,,,
303,303,6972.765625,,,
304,304,6967.3701171875,,,
305,305,6961.9814453125,,,
306,306,6956.599609375,,,
307,307,6951.22509765625,,,
308,308,6945.85693359375,,,
309,309,6940.49560546875,,,
310,310,6935.14208984375,,,
311,311,6929.7939453125,,,
312,312,6924.45361328125,,,
313,313,6919.1201171875,,,
314,314,6913.79296875,,,
315,315,6908.47314453125,,,
316,316,6903.15966796875,,,
317,317,6897.853515625,,,
318,318,6892.55419921875,,,
319,319,6887.26025390625,,,
320,320,6881.97412109375,,,
321,321,6876.69482421875,,,
322,322,6871.421875,,,
323,323,6866.15625,,,
324,324,6860.896484375,,,
325,325,6855.6435546875,,,
326,326,6850.39697265625,,,
327,327,6845.158203125,,,
328,328,6839.92529296875,,,
329,329,6834.69873046875,,,
330,330,6829.4794921875,,,
331,331,6824.26611328125,,,
332,332,6819.06005859375,,,
333,333,6813.8603515625,,,
334,334,6808.66748046875,,,
335,335,6803.48046875,,,
336,336,6798.30029296875,,,
337,337,6793.1259765625,,,
338,338,6787.958984375,,,
339,339,6782.7978515625,,,
340,340,6777.64404296875,,,
341,341,6772.49658203125,,,
342,342,6767.35546875,,,
343,343,6762.22021484375,,,
344,344,6757.091796875,,,
345,345,6751.97021484375,,,
346,346,6746.8544921875,,,
347,347,6741.74560546875,,,
348,348,6736.64306640625,,,
349,349,6731.5458984375,,,
350,350,6726.4560546875,,,
351,351,6721.37255859375,,,
352,352,6716.29443359375,,,
353,353,6711.22412109375,,,
354,354,6706.15966796875,,,
355,355,6701.10107421875,,,
356,356,6696.048828125,,,
357,357,6691.00341796875,,,
358,358,6685.96435546875,,,
359,359,6680.9306640625,,,
360,360,6675.904296875,,,
361,361,6670.8828125,,,
